,date,speed
0,2005-09-28 13:40,6.7
1,2005-09-28 13:50,6.3
2,2005-09-28 14:00,6.3
3,2005-09-28 14:10,7.0
4,2005-09-28 14:20,7.8
5,2005-09-28 14:30,6.9
6,2005-09-28 14:40,6.4
7,2005-09-28 14:50,6.3
8,2005-09-28 15:00,6.1
9,2005-09-28 15:10,6.5
10,2005-09-28 15:20,6.4
11,2005-09-28 15:30,5.9
12,2005-09-28 15:40,6.4
13,2005-09-28 15:50,6.4
14,2005-09-28 16:00,6.4
15,2005-09-28 16:10,7.0
16,2005-09-28 16:20,7.0
17,2005-09-28 16:30,6.1
18,2005-09-28 16:40,6.6
19,2005-09-28 16:50,6.8
20,2005-09-28 17:00,6.5
21,2005-09-28 17:10,6.3
22,2005-09-28 17:20,6.6
23,2005-09-28 17:30,6.3
24,2005-09-28 17:40,6.8
25,2005-09-28 17:50,6.9
26,2005-09-28 18:00,6.7
27,2005-09-28 18:10,7.0
28,2005-09-28 18:20,6.6
29,2005-09-28 18:30,7.0
30,2005-09-28 18:40,7.6
31,2005-09-28 18:50,8.0
32,2005-09-28 19:00,7.7
33,2005-09-28 19:10,7.3
34,2005-09-28 19:20,7.2
35,2005-09-28 19:30,7.1
36,2005-09-28 19:40,6.4
37,2005-09-28 19:50,4.7
38,2005-09-28 20:00,3.5
39,2005-09-28 20:10,1.4
40,2005-09-28 20:20,2.1
41,2005-09-28 20:30,1.6
42,2005-09-28 20:40,1.6
43,2005-09-28 20:50,1.1
44,2005-09-28 21:00,1.1
45,2005-09-28 21:10,0.7
46,2005-09-28 21:20,1.6
47,2005-09-28 21:30,1.0
48,2005-09-28 21:40,1.0
49,2005-09-28 21:50,1.3
50,2005-09-28 22:00,1.6
51,2005-09-28 22:10,0.8
52,2005-09-28 22:20,1.0
53,2005-09-28 22:30,0.5
54,2005-09-28 22:40,0.5
55,2005-09-28 22:50,1.9
56,2005-09-28 23:00,1.7
57,2005-09-28 23:10,2.5
58,2005-09-28 23:20,4.9
59,2005-09-28 23:30,6.4
60,2005-09-28 23:40,6.6
61,2005-09-28 23:50,5.9
62,2005-09-29 00:00,5.2
63,2005-09-29 00:10,6.5
64,2005-09-29 00:20,6.5
65,2005-09-29 00:30,5.9
66,2005-09-29 00:40,5.6
67,2005-09-29 00:50,5.0
68,2005-09-29 01:00,4.8
69,2005-09-29 01:10,5.4
70,2005-09-29 01:20,6.0
71,2005-09-29 01:30,6.3
72,2005-09-29 01:40,6.3
73,2005-09-29 01:50,7.0
74,2005-09-29 02:00,6.5
75,2005-09-29 02:10,5.7
76,2005-09-29 02:20,4.8
77,2005-09-29 02:30,5.1
78,2005-09-29 02:40,4.8
79,2005-09-29 02:50,2.9
80,2005-09-29 03:00,2.1
81,2005-09-29 03:10,2.5
82,2005-09-29 03:20,2.3
83,2005-09-29 03:30,2.3
84,2005-09-29 03:40,0.9
85,2005-09-29 03:50,0.9
86,2005-09-29 04:00,1.6
87,2005-09-29 04:10,0.4
88,2005-09-29 04:20,0.5
89,2005-09-29 04:30,0.6
90,2005-09-29 04:40,1.7
91,2005-09-29 04:50,1.4
92,2005-09-29 05:00,2.2
93,2005-09-29 05:10,3.0
94,2005-09-29 05:20,4.0
95,2005-09-29 05:30,2.8
96,2005-09-29 05:40,2.6
97,2005-09-29 05:50,3.3
98,2005-09-29 06:00,4.4
99,2005-09-29 06:10,3.8
100,2005-09-29 06:20,2.5
101,2005-09-29 06:30,2.9
102,2005-09-29 06:40,2.5
103,2005-09-29 06:50,3.1
104,2005-09-29 07:00,2.5
105,2005-09-29 07:10,1.5
106,2005-09-29 07:20,1.3
107,2005-09-29 07:30,2.1
108,2005-09-29 07:40,2.0
109,2005-09-29 07:50,2.4
110,2005-09-29 08:00,3.5
111,2005-09-29 08:10,3.3
112,2005-09-29 08:20,3.7
113,2005-09-29 08:30,3.7
114,2005-09-29 08:40,3.5
115,2005-09-29 08:50,4.0
116,2005-09-29 09:00,3.9
117,2005-09-29 09:10,3.7
118,2005-09-29 09:20,3.8
119,2005-09-29 09:30,4.2
120,2005-09-29 09:40,3.6
121,2005-09-29 09:50,3.2
122,2005-09-29 10:00,3.3
123,2005-09-29 10:10,2.7
124,2005-09-29 10:20,1.8
125,2005-09-29 10:30,2.6
126,2005-09-29 10:40,2.9
127,2005-09-29 10:50,2.8
128,2005-09-29 11:00,3.5
129,2005-09-29 11:10,3.2
130,2005-09-29 11:20,3.8
131,2005-09-29 11:30,3.6
132,2005-09-29 11:40,3.5
133,2005-09-29 11:50,3.9
134,2005-09-29 12:00,2.7
135,2005-09-29 12:10,3.4
136,2005-09-29 12:20,2.3
137,2005-09-29 12:30,2.5
138,2005-09-29 12:40,2.8
139,2005-09-29 12:50,2.5
140,2005-09-29 13:00,2.4
141,2005-09-29 13:10,2.2
142,2005-09-29 13:20,2.3
143,2005-09-29 13:30,2.0
144,2005-09-29 13:40,2.3
145,2005-09-29 13:50,2.5
146,2005-09-29 14:00,2.9
147,2005-09-29 14:10,3.4
148,2005-09-29 14:20,3.9
149,2005-09-29 14:30,4.4
150,2005-09-29 14:40,4.2
151,2005-09-29 14:50,4.1
152,2005-09-29 15:00,3.9
153,2005-09-29 15:10,3.7
154,2005-09-29 15:20,3.5
155,2005-09-29 15:30,2.8
156,2005-09-29 15:40,2.5
157,2005-09-29 15:50,1.7
158,2005-09-29 16:00,1.2
159,2005-09-29 16:10,2.3
160,2005-09-29 16:20,1.5
161,2005-09-29 16:30,1.4
162,2005-09-29 16:40,1.4
163,2005-09-29 16:50,2.1
164,2005-09-29 17:00,2.2
165,2005-09-29 17:10,3.0
166,2005-09-29 17:20,3.2
167,2005-09-29 17:30,2.9
168,2005-09-29 17:40,3.0
169,2005-09-29 17:50,3.3
170,2005-09-29 18:00,2.6
171,2005-09-29 18:10,3.0
172,2005-09-29 18:20,2.9
173,2005-09-29 18:30,2.6
174,2005-09-29 18:40,2.6
175,2005-09-29 18:50,1.8
176,2005-09-29 19:00,1.7
177,2005-09-29 19:10,2.2
178,2005-09-29 19:20,2.0
179,2005-09-29 19:30,2.0
180,2005-09-29 19:40,1.5
181,2005-09-29 19:50,1.2
182,2005-09-29 20:00,2.0
183,2005-09-29 20:10,1.9
184,2005-09-29 20:20,1.6
185,2005-09-29 20:30,1.9
186,2005-09-29 20:40,2.1
187,2005-09-29 20:50,1.2
188,2005-09-29 21:00,1.0
189,2005-09-29 21:10,0.6
190,2005-09-29 21:20,1.7
191,2005-09-29 21:30,2.2
192,2005-09-29 21:40,1.0
193,2005-09-29 21:50,1.2
194,2005-09-29 22:00,1.6
195,2005-09-29 22:10,1.1
196,2005-09-29 22:20,0.5
197,2005-09-29 22:30,0.7
198,2005-09-29 22:40,1.3
199,2005-09-29 22:50,1.9
200,2005-09-29 23:00,2.2
201,2005-09-29 23:10,2.0
202,2005-09-29 23:20,2.3
203,2005-09-29 23:30,2.2
204,2005-09-29 23:40,2.1
205,2005-09-29 23:50,2.5
206,2005-09-30 00:00,3.0
207,2005-09-30 00:10,3.1
208,2005-09-30 00:20,2.8
209,2005-09-30 00:30,2.7
210,2005-09-30 00:40,1.8
211,2005-09-30 00:50,3.6
212,2005-09-30 01:00,2.8
213,2005-09-30 01:10,2.3
214,2005-09-30 01:20,1.9
215,2005-09-30 01:30,1.9
216,2005-09-30 01:40,2.7
217,2005-09-30 01:50,3.1
218,2005-09-30 02:00,2.6
219,2005-09-30 02:10,2.4
220,2005-09-30 02:20,2.5
221,2005-09-30 02:30,2.1
222,2005-09-30 02:40,1.5
223,2005-09-30 02:50,1.1
224,2005-09-30 03:00,0.6
225,2005-09-30 03:10,0.5
226,2005-09-30 03:20,0.4
227,2005-09-30 03:30,0.4
228,2005-09-30 03:40,0.7
229,2005-09-30 03:50,1.6
230,2005-09-30 04:00,1.3
231,2005-09-30 04:10,1.2
232,2005-09-30 04:20,1.9
233,2005-09-30 04:30,2.5
234,2005-09-30 04:40,2.3
235,2005-09-30 04:50,2.6
236,2005-09-30 05:00,2.8
237,2005-09-30 05:10,3.4
238,2005-09-30 05:20,2.5
239,2005-09-30 05:30,4.2
240,2005-09-30 05:40,6.9
241,2005-09-30 05:50,7.4
242,2005-09-30 06:00,8.3
243,2005-09-30 06:10,8.8
244,2005-09-30 06:20,8.8
245,2005-09-30 06:30,8.2
246,2005-09-30 06:40,8.3
247,2005-09-30 06:50,9.8
248,2005-09-30 07:00,10.7
249,2005-09-30 07:10,11.0
250,2005-09-30 07:20,10.2
251,2005-09-30 07:30,9.9
252,2005-09-30 07:40,9.1
253,2005-09-30 07:50,8.6
254,2005-09-30 08:00,9.3
255,2005-09-30 08:10,8.8
256,2005-09-30 08:20,8.8
257,2005-09-30 08:30,8.9
258,2005-09-30 08:40,9.0
259,2005-09-30 08:50,10.1
260,2005-09-30 09:00,8.3
261,2005-09-30 09:10,7.9
262,2005-09-30 09:20,8.5
263,2005-09-30 09:30,7.5
264,2005-09-30 09:40,7.5
265,2005-09-30 09:50,8.5
266,2005-09-30 10:00,7.8
267,2005-09-30 10:10,7.9
268,2005-09-30 10:20,8.3
269,2005-09-30 10:30,9.3
270,2005-09-30 10:40,9.7
271,2005-09-30 10:50,8.5
272,2005-09-30 11:00,9.4
273,2005-09-30 11:10,8.5
274,2005-09-30 11:20,8.5
275,2005-09-30 11:30,8.7
276,2005-09-30 11:40,8.5
277,2005-09-30 11:50,10.0
278,2005-09-30 12:00,12.0
279,2005-09-30 12:10,11.1
280,2005-09-30 12:20,10.0
281,2005-09-30 12:30,9.1
282,2005-09-30 12:40,10.7
283,2005-09-30 12:50,11.7
284,2005-09-30 13:00,11.6
285,2005-09-30 13:10,10.9
286,2005-09-30 13:20,10.3
287,2005-09-30 13:30,10.5
288,2005-09-30 13:40,9.9
289,2005-09-30 13:50,8.4
290,2005-09-30 14:00,8.8
291,2005-09-30 14:10,10.0
292,2005-09-30 14:20,11.1
293,2005-09-30 14:30,9.8
294,2005-09-30 14:40,9.6
295,2005-09-30 14:50,10.8
296,2005-09-30 15:00,10.9
297,2005-09-30 15:10,10.5
298,2005-09-30 15:20,10.7
299,2005-09-30 15:30,10.7
300,2005-09-30 15:40,9.9
301,2005-09-30 15:50,9.7
302,2005-09-30 16:00,9.6
303,2005-09-30 16:10,9.2
304,2005-09-30 16:20,9.0
