"Fecha Hora (YYYY-MM-DD HH:MM)","Velocidad de viento en 20.0 metros [mean,m/s]","Velocidad de viento en 20.0 metros [max,m/s]","Velocidad de viento en 20.0 metros [sig,m/s]","Velocidad de viento en 10.0 metros [mean,m/s]","Velocidad de viento en 10.0 metros [max,m/s]","Velocidad de viento en 10.0 metros [sig,m/s]","Dirección del viento en 10.0 metros [mean,grados]","Dirección del viento en 10.0 metros [sig,grados]","Humedad Relativa [mean,%]","Temperatura [mean,C]","Presión Atmosférica [mean,hPa]"
"2009-07-29 00:10",2.80,,,2.30,,,75.00,,27.0,15.75,
"2009-07-29 00:20",3.30,,,3.00,,,75.00,,29.0,15.55,
"2009-07-29 00:30",3.40,,,3.10,,,86.00,,30.0,15.65,
"2009-07-29 00:40",3.70,,,3.50,,,81.00,,34.0,15.75,
"2009-07-29 00:50",3.20,,,2.90,,,81.00,,40.0,15.85,
"2009-07-29 01:00",4.00,,,3.60,,,74.00,,37.0,15.85,
"2009-07-29 01:10",3.90,,,3.70,,,79.00,,32.0,15.25,
"2009-07-29 01:20",3.90,,,3.60,,,64.00,,33.0,14.15,
"2009-07-29 01:30",3.50,,,3.20,,,49.00,,28.0,14.95,
"2009-07-29 01:40",2.80,,,2.10,,,51.00,,29.0,14.95,
"2009-07-29 01:50",3.00,,,2.20,,,57.00,,24.0,16.05,
"2009-07-29 02:00",4.00,,,3.00,,,67.00,,25.0,16.15,
"2009-07-29 02:10",3.00,,,2.30,,,61.00,,25.0,15.45,
"2009-07-29 02:20",3.20,,,2.90,,,54.00,,24.0,16.05,
"2009-07-29 02:30",1.60,,,1.40,,,52.00,,23.0,16.05,
"2009-07-29 02:40",1.50,,,1.40,,,31.00,,22.0,15.95,
"2009-07-29 02:50",2.90,,,3.00,,,141.00,,22.0,15.75,
"2009-07-29 03:00",3.20,,,3.50,,,170.00,,21.0,17.05,
"2009-07-29 03:10",1.90,,,2.20,,,228.00,,19.0,17.55,
"2009-07-29 03:20",2.10,,,2.70,,,290.00,,20.0,16.85,
"2009-07-29 03:30",2.60,,,4.00,,,263.00,,56.0,12.75,
"2009-07-29 03:40",2.30,,,3.50,,,259.00,,95.0,6.35,
"2009-07-29 03:50",2.90,,,3.60,,,260.00,,99.0,6.15,
"2009-07-29 04:00",2.10,,,3.00,,,262.00,,99.0,6.15,
"2009-07-29 04:10",1.20,,,1.20,,,256.00,,99.0,6.05,
"2009-07-29 04:20",1.80,,,1.60,,,27.00,,78.0,7.05,
"2009-07-29 04:30",2.20,,,2.30,,,43.00,,52.0,10.65,
"2009-07-29 04:40",1.80,,,2.20,,,358.00,,38.0,11.85,
"2009-07-29 04:50",4.90,,,4.60,,,265.00,,68.0,10.65,
"2009-07-29 05:00",5.60,,,5.20,,,262.00,,98.0,6.25,
"2009-07-29 05:10",5.60,,,5.30,,,256.00,,100.0,6.75,
"2009-07-29 05:20",5.10,,,4.80,,,260.00,,100.0,6.85,
"2009-07-29 05:30",4.40,,,4.20,,,259.00,,100.0,6.95,
"2009-07-29 05:40",3.70,,,3.50,,,259.00,,100.0,6.85,
"2009-07-29 05:50",2.30,,,2.40,,,257.00,,100.0,6.75,
"2009-07-29 06:00",1.00,,,2.20,,,275.00,,100.0,6.35,
"2009-07-29 06:10",2.20,,,1.30,,,292.00,,100.0,5.85,
"2009-07-29 06:20",2.50,,,2.10,,,59.00,,92.0,6.85,
"2009-07-29 06:30",2.30,,,2.00,,,69.00,,76.0,8.65,
"2009-07-29 06:40",1.30,,,1.80,,,35.00,,67.0,9.55,
"2009-07-29 06:50",1.10,,,1.40,,,5.00,,51.0,10.05,
"2009-07-29 07:00",0.70,,,0.80,,,3.00,,45.0,11.05,
"2009-07-29 07:10",1.70,,,1.50,,,95.00,,36.0,11.35,
"2009-07-29 07:20",2.10,,,1.30,,,59.00,,30.0,12.85,
"2009-07-29 07:30",2.60,,,2.10,,,101.00,,23.0,13.45,
"2009-07-29 07:40",3.00,,,2.60,,,47.00,,23.0,14.55,
"2009-07-29 07:50",1.30,,,1.70,,,310.00,,26.0,14.55,
"2009-07-29 08:00",2.20,,,2.00,,,356.00,,24.0,13.75,
"2009-07-29 08:10",2.30,,,2.30,,,38.00,,21.0,14.55,
"2009-07-29 08:20",2.90,,,2.80,,,44.00,,22.0,14.75,
"2009-07-29 08:30",2.30,,,2.30,,,43.00,,23.0,14.65,
"2009-07-29 08:40",1.80,,,2.20,,,22.00,,24.0,14.85,
"2009-07-29 08:50",1.50,,,2.20,,,5.00,,25.0,15.15,
"2009-07-29 09:00",1.50,,,2.00,,,26.00,,23.0,15.85,
"2009-07-29 09:10",1.50,,,1.70,,,26.00,,20.0,17.55,
"2009-07-29 09:20",2.90,,,3.50,,,288.00,,17.0,18.55,
"2009-07-29 09:30",3.90,,,4.20,,,255.00,,56.0,13.55,
"2009-07-29 09:40",4.90,,,5.20,,,276.00,,70.0,12.15,
"2009-07-29 09:50",6.10,,,5.80,,,271.00,,82.0,10.15,
"2009-07-29 10:00",5.10,,,4.90,,,258.00,,86.0,9.85,
"2009-07-29 10:10",4.80,,,4.70,,,267.00,,83.0,9.95,
"2009-07-29 10:20",5.70,,,5.50,,,263.00,,80.0,10.75,
"2009-07-29 10:30",4.90,,,4.80,,,264.00,,79.0,11.05,
"2009-07-29 10:40",4.70,,,4.60,,,269.00,,77.0,11.35,
"2009-07-29 10:50",5.70,,,5.50,,,264.00,,70.0,12.75,
"2009-07-29 11:00",7.20,,,7.00,,,260.00,,72.0,12.35,
"2009-07-29 11:10",7.40,,,7.10,,,259.00,,80.0,11.05,
"2009-07-29 11:20",7.50,,,7.20,,,260.00,,82.0,10.65,
"2009-07-29 11:30",6.80,,,6.60,,,259.00,,84.0,10.65,
"2009-07-29 11:40",5.80,,,5.60,,,260.00,,84.0,10.65,
"2009-07-29 11:50",6.10,,,5.80,,,258.00,,81.0,11.25,
"2009-07-29 12:00",5.60,,,5.40,,,260.00,,79.0,11.65,
"2009-07-29 12:10",5.60,,,5.40,,,258.00,,75.0,12.35,
"2009-07-29 12:20",5.90,,,5.70,,,257.00,,73.0,12.75,
"2009-07-29 12:30",5.60,,,5.50,,,251.00,,73.0,12.55,
"2009-07-29 12:40",6.00,,,5.70,,,254.00,,73.0,12.65,
"2009-07-29 12:50",6.20,,,5.90,,,251.00,,71.0,12.95,
"2009-07-29 13:00",6.80,,,6.50,,,255.00,,73.0,12.85,
"2009-07-29 13:10",7.70,,,7.60,,,258.00,,74.0,12.65,
"2009-07-29 13:20",8.60,,,8.30,,,257.00,,82.0,11.25,
"2009-07-29 13:30",9.80,,,9.40,,,259.00,,86.0,10.65,
"2009-07-29 13:40",10.90,,,10.40,,,262.00,,88.0,10.05,
"2009-07-29 13:50",11.60,,,10.90,,,266.00,,90.0,9.75,
"2009-07-29 14:00",11.40,,,10.80,,,263.00,,93.0,9.35,
"2009-07-29 14:10",11.10,,,10.50,,,263.00,,94.0,9.15,
"2009-07-29 14:20",9.20,,,8.70,,,266.00,,98.0,8.85,
"2009-07-29 14:30",7.10,,,6.70,,,264.00,,98.0,9.05,
"2009-07-29 14:40",8.00,,,7.60,,,256.00,,95.0,9.35,
"2009-07-29 14:50",7.90,,,7.50,,,260.00,,93.0,9.65,
"2009-07-29 15:00",7.20,,,6.80,,,262.00,,91.0,9.75,
"2009-07-29 15:10",6.70,,,6.50,,,259.00,,90.0,9.95,
"2009-07-29 15:20",6.30,,,6.00,,,261.00,,88.0,10.45,
"2009-07-29 15:30",5.90,,,5.50,,,257.00,,86.0,10.75,
"2009-07-29 15:40",5.30,,,5.10,,,255.00,,85.0,11.05,
"2009-07-29 15:50",5.00,,,4.80,,,253.00,,85.0,10.95,
"2009-07-29 16:00",5.50,,,5.30,,,254.00,,84.0,11.15,
"2009-07-29 16:10",6.00,,,5.80,,,260.00,,84.0,11.15,
"2009-07-29 16:20",7.70,,,7.40,,,259.00,,87.0,10.85,
"2009-07-29 16:30",9.00,,,8.60,,,261.00,,92.0,9.95,
"2009-07-29 16:40",9.60,,,9.10,,,262.00,,98.0,9.05,
"2009-07-29 16:50",9.10,,,8.50,,,265.00,,99.0,8.85,
"2009-07-29 17:00",8.00,,,7.60,,,262.00,,100.0,8.75,
"2009-07-29 17:10",6.30,,,5.90,,,256.00,,100.0,8.75,
"2009-07-29 17:20",3.80,,,3.70,,,246.00,,101.0,8.85,
"2009-07-29 17:30",3.90,,,3.80,,,243.00,,101.0,8.75,
"2009-07-29 17:40",2.90,,,3.00,,,244.00,,101.0,8.85,
"2009-07-29 17:50",1.20,,,1.10,,,250.00,,101.0,9.15,
"2009-07-29 18:00",3.50,,,2.60,,,87.00,,95.0,9.75,
"2009-07-29 18:10",3.40,,,2.70,,,84.00,,86.0,11.05,
"2009-07-29 18:20",2.70,,,1.90,,,77.00,,86.0,10.95,
"2009-07-29 18:30",2.60,,,1.90,,,79.00,,77.0,11.95,
"2009-07-29 18:40",2.10,,,2.60,,,168.00,,75.0,12.55,
"2009-07-29 18:50",4.30,,,4.50,,,247.00,,93.0,9.25,
"2009-07-29 19:00",5.70,,,5.40,,,253.00,,100.0,8.45,
"2009-07-29 19:10",6.30,,,5.90,,,256.00,,100.0,8.45,
"2009-07-29 19:20",5.80,,,5.60,,,254.00,,101.0,8.45,
"2009-07-29 19:30",6.60,,,6.30,,,258.00,,101.0,8.55,
"2009-07-29 19:40",7.00,,,6.60,,,264.00,,101.0,8.45,
"2009-07-29 19:50",6.50,,,6.20,,,264.00,,101.0,8.65,
"2009-07-29 20:00",6.10,,,5.80,,,269.00,,101.0,8.55,
"2009-07-29 20:10",6.00,,,5.70,,,264.00,,101.0,8.35,
"2009-07-29 20:20",6.60,,,6.20,,,263.00,,101.0,8.35,
"2009-07-29 20:30",6.30,,,5.90,,,267.00,,101.0,8.35,
"2009-07-29 20:40",6.10,,,5.70,,,273.00,,102.0,8.35,
"2009-07-29 20:50",6.10,,,5.60,,,281.00,,102.0,8.35,
"2009-07-29 21:00",6.00,,,5.50,,,276.00,,102.0,8.45,
"2009-07-29 21:10",5.30,,,4.90,,,282.00,,102.0,8.55,
"2009-07-29 21:20",5.30,,,5.00,,,297.00,,102.0,8.65,
"2009-07-29 21:30",4.90,,,4.60,,,295.00,,102.0,8.55,
"2009-07-29 21:40",4.10,,,3.80,,,283.00,,102.0,8.35,
"2009-07-29 21:50",4.00,,,3.70,,,301.00,,102.0,8.45,
"2009-07-29 22:00",3.40,,,3.20,,,301.00,,102.0,8.45,
"2009-07-29 22:10",3.40,,,3.20,,,301.00,,102.0,8.55,
"2009-07-29 22:20",3.40,,,3.20,,,299.00,,102.0,8.65,
"2009-07-29 22:30",3.30,,,3.10,,,289.00,,102.0,8.65,
"2009-07-29 22:40",2.90,,,2.60,,,278.00,,102.0,8.65,
"2009-07-29 22:50",2.30,,,2.20,,,278.00,,102.0,8.65,
"2009-07-29 23:00",1.70,,,1.50,,,301.00,,102.0,8.65,
"2009-07-29 23:10",1.10,,,1.00,,,279.00,,102.0,8.65,
"2009-07-29 23:20",1.20,,,1.10,,,282.00,,102.0,8.65,
"2009-07-29 23:30",0.40,,,0.40,,,233.00,,102.0,8.65,
"2009-07-29 23:40",1.90,,,1.60,,,113.00,,102.0,8.65,
"2009-07-29 23:50",3.20,,,3.10,,,69.00,,102.0,8.75,
"2009-07-30 00:00",5.70,,,5.50,,,49.00,,102.0,8.95,
"2009-07-30 00:10",6.00,,,5.80,,,39.00,,100.0,9.35,
"2009-07-30 00:20",6.40,,,6.30,,,51.00,,99.0,9.55,
"2009-07-30 00:30",5.60,,,5.40,,,45.00,,97.0,9.65,
"2009-07-30 00:40",4.80,,,4.70,,,46.00,,95.0,9.75,
"2009-07-30 00:50",4.30,,,4.10,,,53.00,,94.0,9.75,
"2009-07-30 01:00",3.70,,,3.60,,,44.00,,94.0,9.75,
"2009-07-30 01:10",3.90,,,3.60,,,42.00,,94.0,9.75,
"2009-07-30 01:20",2.60,,,2.50,,,37.00,,94.0,9.75,
"2009-07-30 01:30",1.40,,,1.20,,,48.00,,94.0,9.75,
"2009-07-30 01:40",1.50,,,1.00,,,73.00,,95.0,9.65,
"2009-07-30 01:50",1.90,,,1.60,,,70.00,,94.0,9.55,
"2009-07-30 02:00",1.30,,,1.00,,,357.00,,95.0,9.55,
"2009-07-30 02:10",1.90,,,1.60,,,39.00,,95.0,9.15,
"2009-07-30 02:20",1.90,,,1.30,,,63.00,,94.0,9.35,
