lags time_steps dense_nodes lstm_nodes processed scales                        epochs l2 learning_rate mean_mae mean_mape mean_mse                         std mae std_mape std_mse 
[1, 12, 24, 48], [24, 15, 15, 15], [1, 10, 10, 10], [10, 10, 10, 10], [0, 1, 2, 3], 1, 0.001 2.2618881732704876 41.12334755903221 6.210506527042925 0.046080676176214745 0.7737008107640491 0.6386172034202344 
[1, 12, 24, 48], [24, 15, 10, 5], [1, 10, 10, 10], [10, 10, 10, 10], [0, 1, 2, 3], 1, 0.001 2.347667362302611 48.27761970604001 8.232396493921105 0.18458428092276255 6.9018264484571406 1.9314907863297708 
[1, 12, 24, 48], [24, 15, 15, 5], [1, 5, 5, 5], [5, 5, 5, 5], [0, 1, 2, 3], 1, 0.001 2.1759939305304927 41.26535499962618 5.731292799116408 0.031242454308467785 0.7466279593317401 0.4751452058214641 
[1, 12, 24, 48], [24, 5, 5, 5], [1, 10, 10, 10], [10, 10, 10, 10], [0, 1, 2, 3], 1, 0.001 2.324949342611556 46.4185422955137 7.61479101182824 0.1658949825156304 6.785378001088816 2.024220209088812 
[1, 12, 24, 48], [24, 15, 15, 5], [1, 5, 5, 5], [10, 10, 10, 10], [0, 1, 2, 3], 1, 0.001 2.189231241961804 41.86817183110314 6.227133723589219 0.0865806528490072 0.9033441300801911 0.47871717789314827 
[1, 12, 24, 48], [24, 15, 5, 5], [1, 10, 10, 10], [5, 5, 5, 5], [0, 1, 2, 3], 1, 0.001 2.2434669073108857 45.88146065483185 7.217287937779943 0.10595788620417324 7.1871919920620435 1.7435034803088563 
[1, 12, 24, 48], [24, 15, 10, 5], [1, 10, 10, 10], [5, 5, 5, 5], [0, 1, 2, 3], 1, 0.001 2.2795726251565953 46.17702665273123 7.732819418522967 0.18480635290767128 4.543608406403992 1.3918001183577406 
[1, 12, 24, 48], [24, 5, 5, 5], [1, 5, 5, 5], [5, 5, 5, 5], [0, 1, 2, 3], 1, 0.001 2.190051996835197 41.2918143415277 5.878079598432978 0.05022849208016356 0.7365374677350329 0.5578815885858096 
[1, 12, 24, 48], [24, 5, 5, 5], [1, 5, 5, 5], [10, 10, 10, 10], [0, 1, 2, 3], 1, 0.001 2.2085807006861327 41.16294203447224 5.92287707986232 0.04694639543735957 0.5809589026988838 0.5177069347607504 
[1, 12, 24, 48], [24, 5, 5, 5], [1, 10, 10, 10], [5, 5, 5, 5], [0, 1, 2, 3], 1, 0.001 2.172044064176993 45.77303333325379 6.914030776614171 0.13790923377198624 4.8716799023077835 1.4022663902664831 
[1, 12, 24, 48], [24, 10, 5, 5], [1, 5, 5, 5], [5, 5, 5, 5], [0, 1, 2, 3], 1, 0.001 2.155509785283357 41.399623857769974 5.7505383608231595 0.07993840753290785 0.6071919701405267 0.5745918986023156 
[1, 12, 24, 48], [24, 15, 5, 5], [1, 10, 10, 10], [10, 10, 10, 10], [0, 1, 2, 3], 1, 0.001 2.2924453733599295 45.96792477571007 7.572279132113545 0.1466983529043864 7.3463698743935595 1.801332652042005 
[1, 12, 24, 48], [24, 10, 5, 5], [1, 10, 10, 10], [5, 5, 5, 5], [0, 1, 2, 3], 1, 0.001 2.1746781259661327 46.06637102458874 7.23844736573357 0.175617758215295 4.118734509468594 1.2235626267165363 
[1, 12, 24, 48], [24, 10, 5, 5], [1, 10, 10, 10], [10, 10, 10, 10], [0, 1, 2, 3], 1, 0.001 2.1551738055860974 41.60452251676338 5.847312369913086 0.09452796735405443 0.8336290822997675 0.5613843453905215 
[1, 12, 24, 48], [24, 15, 5, 5], [1, 5, 5, 5], [5, 5, 5, 5], [0, 1, 2, 3], 1, 0.001 2.1939354139752685 41.24477483366981 5.864299314904342 0.05222103868316259 0.610117528424556 0.5351401281395668 
[1, 12, 24, 48], [24, 15, 5, 5], [1, 5, 5, 5], [10, 10, 10, 10], [0, 1, 2, 3], 1, 0.001 2.2104754417894963 41.70227538587631 6.250745639881304 0.0392292615090216 1.0802627665405722 0.6724051009158062 
[1, 12, 24, 48], [24, 15, 10, 5], [1, 5, 5, 5], [5, 5, 5, 5], [0, 1, 2, 3], 1, 0.001 2.1969457617095083 41.10829527162046 5.792238732739683 0.048661586467432495 0.4428875176772458 0.5123853841246055 
[1, 12, 24, 48], [24, 15, 10, 5], [1, 5, 5, 5], [10, 10, 10, 10], [0, 1, 2, 3], 1, 0.001 2.1661794606478955 41.40831708716657 5.791832301855532 0.06579611910689612 0.6938336332757731 0.6100295242225208 
[1, 12, 24, 48], [24, 10, 5, 5], [1, 5, 5, 5], [10, 10, 10, 10], [0, 1, 2, 3], 1, 0.001 2.2026413824726587 41.15347495258867 5.876993360343415 0.03464874829047441 0.5447279254240933 0.46245410455018676 
[1, 12, 24, 48], [24, 15, 15, 5], [1, 10, 10, 10], [5, 5, 5, 5], [0, 1, 2, 3], 1, 0.001 2.135696713606033 46.34189277567474 7.03451808135014 0.14859614161575788 5.028719013541164 1.5597453168037703 
[1, 12, 24, 48], [24, 15, 15, 5], [1, 10, 10, 10], [10, 10, 10, 10], [0, 1, 2, 3], 1, 0.001 2.1892421451286865 43.368676793596414 6.491761284653533 0.07404713921550123 4.102884718027203 1.457331628187781 
[1, 12, 24, 48], [24, 15, 15, 10], [1, 10, 10, 10], [10, 10, 10, 10], [0, 1, 2, 3], 1, 0.001 2.2759538973995523 44.897620684136605 7.364056084747721 0.049640227935359785 4.673245030346168 0.8255113388310702 
[1, 12, 24, 48], [24, 15, 15, 10], [1, 5, 5, 5], [10, 10, 10, 10], [0, 1, 2, 3], 1, 0.001 2.200114797590887 41.46464942547376 6.018528879454946 0.08997718303243178 0.8557127624436808 0.7695042515266806 
[1, 12, 24, 48], [24, 15, 15, 15], [1, 5, 5, 5], [5, 5, 5, 5], [0, 1, 2, 3], 1, 0.001 2.4894338920981522 50.025407313198954 9.068892677620576 0.2676695725834326 10.403160441684669 2.802328221366154 
[1, 12, 24, 48], [24, 15, 15, 15], [1, 10, 10, 10], [5, 5, 5, 5], [0, 1, 2, 3], 1, 0.001 2.103899491659745 45.24370284625676 6.496043733527441 0.10850799596596641 3.8957094121136215 1.2333512769991897 
[1, 12, 24, 48], [24, 15, 15, 10], [1, 5, 5, 5], [5, 5, 5, 5], [0, 1, 2, 3], 1, 0.001 2.1321840924231545 42.01310746682108 5.972625964824003 0.13500779792779224 0.7777277613988932 0.6721918984905882 
[1, 12, 24, 48], [24, 10, 5, 5], [1, 5, 5, 5], [10, 10, 10, 10], [1, 2, 3], 1, 0.001 2.198778013096157 41.00804974824606 5.7635222773551815 0.03369948425316558 0.30596630737355124 0.3076678984731579 
[1, 12, 24, 48], [24, 15, 15, 15], [1, 5, 5, 5], [10, 10, 10, 10], [0, 1, 2, 3], 1, 0.001 2.2119878850308146 41.167676742235614 5.930893435381572 0.048773154715298306 0.7111744669335384 0.5562821324218471 
[1, 12, 24, 48], [24, 15, 15, 10], [1, 10, 10, 10], [5, 5, 5, 5], [0, 1, 2, 3], 1, 0.001 1.9921110994210118 43.58815763706353 5.709938835991903 0.08113260414244503 1.2143654266920987 0.57250458512162 
[1, 12, 24, 48], [24, 15, 15, 15], [1, 10, 10, 10], [10, 10, 10, 10], [0, 1, 2, 3], 1, 0.001 2.4164372504597393 48.65513411081436 8.710515103006616 0.27742300980039697 9.405253435358862 2.770602858755146 
[1, 12, 24, 48], [24, 15, 5, 5], [1, 10, 10, 10], [5, 5, 5, 5], [1, 2, 3], 1, 0.001 2.2735775656980914 47.708765520108194 7.592471808252081 0.20634684857862626 5.6878597239104565 1.9018079065172249 
