lags time_steps dense_nodes lstm_nodes processed scales                        epochs l2 learning_rate mean_mae mean_mape mean_mse                         std mae std_mape std_mse 
[1, 24, 48], [24, 10, 10], [1, 10, 10], [10, 20, 20], [1, 2], 1, 0.001, 1, False, True 2.0494532218409915 55.32716225289056 7.296185239593243 0.14027455455028953 3.5675737563644696 0.562733917062671 
[1, 24], [24, 5], [1, 10], [20, 20], [1], 1, 0.001, 1, False, True 2.1655387423380663 58.08560426039691 8.306707572169822 0.07860080423651648 1.9135643219405638 0.5646539453772319 
[1, 24], [24, 5], [1, 5], [20, 20], [1], 1, 0.001, 1, False, True 2.1097998123478017 53.834728874871786 7.482677753369035 0.18061863297838934 3.217000748833133 1.0458373287612732 
[1, 24], [24, 5], [1, 5], [30, 30], [1], 1, 0.001, 1, False, True 2.1044752750959668 53.69286504063815 7.731351165135771 0.13428316274629684 2.1507944675101136 0.2596798625958781 
[1, 24], [24, 5], [1, 10], [30, 30], [1], 1, 0.001, 1, False, True 2.096084667963011 55.53417983647402 7.791005908221712 0.015949650505224906 1.2832478097825433 0.1893874692208902 
[1, 24], [24, 10], [1, 10], [20, 20], [1], 1, 0.001, 1, False, True 2.0292237001022815 53.30159456967792 7.568740086299105 0.03966068840778637 2.1890661824273474 0.25487895143656236 
[1, 24], [24, 10], [1, 5], [20, 20], [1], 1, 0.001, 1, False, True 2.177209192100499 56.96462743552913 8.244141544696875 0.10924924750825575 1.1794494682817844 0.4045449550051505 
[1, 24], [24, 15], [1, 5], [20, 20], [1], 1, 0.001, 1, False, True 2.064323900170901 54.192705694140926 7.389112185003103 0.04491574603039866 1.1432696320546187 0.4379317964949974 
[1, 24], [24, 5], [1, 5], [20, 20], [0, 1], 1, 0.001, 1, False, True 2.2601337797939784 55.570119579363876 8.558796955278218 0.07137501037242497 1.0099670206787534 0.6163018045071859 
[1, 24], [24, 10], [1, 5], [30, 30], [1], 1, 0.001, 1, False, True 2.109559222117619 52.849560275913745 7.261039059589557 0.04711716748496458 1.799664406385428 0.41068274539889055 
[1, 24], [24, 15], [1, 10], [20, 20], [1], 1, 0.001, 1, False, True 2.1073421778502297 55.50856816297906 8.2356876394364 0.020253246170800994 0.999065557771556 0.23551099158054695 
[1, 24], [24, 15], [1, 10], [30, 30], [1], 1, 0.001, 1, False, True 2.0779764805954923 54.40299927244447 8.402124184957438 0.05304521790356988 2.3681824517308128 0.20967989398908332 
[1, 24], [24, 15], [1, 5], [30, 30], [1], 1, 0.001, 1, False, True 2.1713324186702576 55.087759304043516 7.528416169366132 0.043039144318389816 1.5684656724125225 0.4555662867779643 
[1, 24], [24, 10], [1, 10], [30, 30], [1], 1, 0.001, 1, False, True 2.1235637327311223 56.10973314215832 8.062220568668463 0.0757663447073426 2.955840167307076 1.0651051436349548 
[1, 24], [24, 20], [1, 5], [20, 20], [1], 1, 0.001, 1, False, True 2.083286960009072 54.642620764681304 7.626072068260435 0.10362681077946258 0.9735995084538774 0.5807569301597272 
[1, 24], [24, 20], [1, 10], [20, 20], [1], 1, 0.001, 1, False, True 2.0998402576203703 55.26763327489573 7.635901082460355 0.05327432249650708 1.6581115474675174 0.3355392939761796 
[1, 24], [24, 20], [1, 5], [30, 30], [1], 1, 0.001, 1, False, True 2.167165448433823 55.48763041313182 8.125841580961247 0.07718568619495308 1.2220025028331352 0.5498879235818094 
[1, 24], [24, 20], [1, 10], [30, 30], [1], 1, 0.001, 1, False, True 2.0734786163877565 53.52281975579914 7.632799204571779 0.10602937268102379 2.7672384300498187 0.7828663305857303 
